15.2;G
21.5;G
19.2;G
16.8;G
17.5;G
18.8;G
13.2;G
18.2;G
15.1;G
12.2;G
19.1;G
16.4;G
13.2;G
16.4;G
16.8;G
12.6;G
17.3;G
16.6;G
13.8;G
18.8;G
15.6;G
13.2;G
20.5;G
18.5;G
16.0;G
23.0;G
19.6;G
14.8;G
22.6;G
23.1;G
14.8;G
18.2;G
14.5;G
12.0;G
17.2;G
17.1;G
14.2;G
19.0;G
20.4;G
13.8;G
21.2;G
19.9;G
13.8;G
25.0;G
24.6;G
17.3;G
27.9;G
25.5;G
17.9;G
15.9;G
18.7;G
13.1;G
14.9;G
14.7;G
11.2;G
16.2;G
12.8;G
12.4;G
15.8;G
17.3;G
12.0;G
17.3;G
16.9;G
14.8;G
18.2;G
18.7;G
13.4;G
15.3;G
15.2;G
12.0;G
15.4;G
15.2;G
12.3;G
18.6;G
17.5;G
12.9;G
18.6;G
17.8;G
13.9;G
17.2;G
17.4;G
14.0;G
17.2;G
17.3;G
14.3;G
21.4;G
18.0;G
14.1;G
19.6;G
16.9;G
13.9;G
14.2;G
17.3;G
13.0;G
19.2;G
18.0;G
14.4;G
18.5;G
17.3;G
14.1;G
17.9;G
13.7;G
13.7;G
18.3;G
18.6;G
13.7;G
17.9;G
18.6;G
14.3;G
17.9;G
17.6;G
14.2;G
16.6;G
17.1;G
13.0;G
17.8;G
16.3;G
14.0;G
14.9;G
16.3;G
14.8;G
15.0;G
14.6;G
13.8;G
16.3;G
15.4;G
12.8;G
14.2;G
15.6;G
14.6;G
20.2;G
17.8;G
14.0;G
17.1;G
16.2;G
14.0;G
14.6;G
15.9;G
14.0;G
18.5;G
17.8;G
13.2;G
15.2;G
16.6;G
12.8;G
12.5;G
16.5;G
14.1;G
21.0;G
17.4;G
16.4;G
19.5;G
17.2;G
14.8;G
21.2;G
14.8;G
14.8;G
17.2;G
13.4;G
12.8;G
20.2;G
18.8;G
12.8;G
22.1;G
19.8;G
13.8;G
20.5;G
16.5;G
13.1;G
19.1;G
15.8;G
12.9;G
18.3;G
15.8;G
12.8;G
17.0;G
13.8;G
12.2;G
18.1;G
14.8;G
10.8;G
19.1;G
15.4;G
11.2;G
17.8;G
15.8;G
13.2;G
15.8;G
14.6;G
12.2;G
15.1;G
13.4;G
11.9;G
18.8;G
14.5;G
12.6;G
15.8;G
15.2;G
13.5;G
15.5;G
14.4;G
12.8;G
15.8;G
15.4;G
11.8;G
16.1;G
15.2;G
10.8;G
16.8;G
15.2;G
10.1;G
16.8;G
17.2;G
16.2;G
20.8;G
16.8;G
14.8;G
21.0;G
18.5;G
13.8;G
19.8;G
18.5;G
13.8;G
25.0;G
20.6;G
13.8;G
26.5;G
21.8;G
15.0;G
26.4;G
19.8;G
12.2;G
23.4;G
18.8;G
11.2;G
23.8;G
18.0;G
13.8;G
18.9;G
15.9;G
12.8;G
18.4;G
13.6;G
15.0;G
18.6;G
15.8;G
13.8;G
15.7;G
13.4;G
13.2;G
14.5;G
14.2;G
13.2;G
15.0;G
13.8;G
12.6;G
14.0;G
13.2;G
14.0;G
16.8;G
16.5;G
13.8;G
16.0;G
11.3;G
10.8;G
15.2;G
13.2;G
14.8;G
15.2;G
14.0;G
12.0;G
17.6;G
15.6;G
17.2;G
21.2;G
18.8;G
15.6;G
24.1;G
20.1;G
13.8;G
19.1;G
15.2;G
10.8;G
17.0;G
14.9;G
10.8;G
16.6;G
12.8;G
11.8;G
16.4;G
13.4;G
10.8;G
17.1;G
13.8;G
8.8;G
16.6;G
12.7;G
9.4;G
18.9;G
11.9;G
12.0;G
15.2;G
12.2;G
9.8;G
15.1;G
12.0;G
8.8;G
17.6;G
11.2;G
12.8;G
16.8;G
14.5;G
13.8;G
16.5;G
15.8;G
9.8;G
18.1;G
13.9;G
12.4;G
16.2;G
12.1;G
10.8;G
14.9;G
12.8;G
11.8;G
17.2;G
12.8;G
12.2;G
16.3;G
12.7;G
12.2;G
16.6;G
12.9;G
11.8;G
18.0;G
13.7;G
12.2;G
16.9;G
13.1;G
12.4;G
13.8;G
12.2;G
9.8;G
12.9;G
12.3;G
11.8;G
17.2;G
14.0;G
11.8;G
16.7;G
14.3;G
10.2;G
15.3;G
11.6;G
9.2;G
14.3;G
9.2;G
11.0;G
13.9;G
11.9;G
11.0;G
13.1;G
12.4;G
11.2;G
12.7;G
11.2;G
9.8;G
10.1;G
8.5;G
9.2;G
10.6;G
9.7;G
9.2;G
10.4;G
9.5;G
8.8;G
12.5;G
9.9;G
9.8;G
11.9;G
11.2;G
9.9;G
9.4;G
7.9;G
9.8;G
12.0;G
10.4;G
9.2;G
9.7;G
9.7;G
11.8;G
12.3;G
10.2;G
9.8;G
11.0;G
9.0;G
11.8;G
13.4;G
11.8;G
8.8;G
11.5;G
9.8;G
7.5;G
11.5;G
8.5;G
7.8;G
11.6;G
6.6;G
8.8;G
10.1;G
8.4;G
8.8;G
11.0;G
9.4;G
8.8;G
10.7;G
10.2;G
9.2;G
9.6;G
8.0;G
4.8;G
6.2;G
4.8;G
-0.4;G
7.3;G
3.7;G
0.8;G
5.3;G
3.1;G
5.2;G
8.9;G
9.0;G
9.8;G
8.3;G
6.3;G
6.8;G
7.0;G
6.0;G
7.8;G
8.3;G
7.5;G
5.8;G
7.4;G
6.4;G
7.6;G
8.3;G
7.0;G
5.2;G
3.9;G
2.9;G
2.8;G
5.4;G
0.8;G
-2.2;G
4.4;G
6.1;G
6.8;G
7.2;G
7.0;G
7.8;G
6.8;G
4.4;G
5.0;G
5.8;G
1.9;G
0.0;G
2.8;G
0.5;G
-2.8;G
4.2;G
2.4;G
1.8;G
3.4;G
1.8;G
-2.0;G
1.3;G
-2.2;G
0.0;G
5.0;G
2.3;G
3.8;G
4.5;G
3.7;G
1.4;G
3.8;G
4.3;G
4.8;G
4.1;G
3.1;G
2.2;G
1.6;G
2.9;G
1.2;G
1.1;G
2.8;G
4.4;G
5.6;G
4.7;G
3.8;G
4.0;G
3.8;G
3.8;G
5.2;G
4.4;G
3.8;G
0.6;G
3.0;G
3.2;G
5.4;G
3.0;G
2.8;G
2.4;G
2.4;G
5.8;G
9.6;G
8.6;G
2.8;G
2.9;G
3.2;G
2.8;G
4.2;G
2.2;G
1.4;G
2.1;G
1.6;G
-1.0;G
1.1;G
2.2;G
1.1;G
1.2;G
1.8;G
4.0;G
4.4;G
5.2;G
3.2;G
1.8;G
1.2;G
-0.2;G
0.1;G
-1.4;G
0.8;G
1.1;G
-2.5;G
-6.2;G
-5.2;G
-6.6;G
-2.2;G
-0.5;G
-1.7;G
-5.0;G
-3.8;G
-5.3;G
-3.0;G
-1.1;G
0.6;G
2.0;G
2.5;G
1.1;G
1.4;G
3.8;G
2.2;G
0.4;G
-0.6;G
-1.8;G
-4.2;G
-5.2;G
-7.8;G
-9.2;G
-7.8;G
-8.2;G
-2.6;G
-1.2;G
-0.4;G
0.0;G
0.0;G
-1.8;G
-2.5;G
-2.0;G
-6.8;G
-13.2;
-7.8;G
-8.6;G
-7.2;G
-5.6;G
-7.8;G
-5.2;G
-3.0;G
-2.4;G
1.2;G
1.8;G
1.3;G
4.0;G
3.2;G
1.6;G
1.6;G
0.0;G
-1.2;G
-5.4;G
-4.6;G
-3.2;G
1.8;G
-0.1;G
-1.8;G
0.8;G
1.0;G
1.0;G
2.0;G
1.0;G
1.0;G
2.5;G
3.0;G
2.9;G
-0.6;G
0.5;G
0.4;G
2.4;G
2.8;G
2.0;G
2.2;G
2.0;G
2.8;G
2.2;G
2.5;G
2.5;G
2.4;G
3.5;G
5.6;G
5.2;G
4.5;G
2.5;G
2.4;G
2.0;G
1.8;G
2.0;G
2.8;G
3.0;G
1.2;G
0.8;G
3.2;G
1.8;G
2.8;G
2.8;G
4.0;G
5.2;G
4.1;G
4.8;G
6.8;G
5.2;G
3.2;G
3.2;G
3.6;G
4.4;G
6.2;G
4.4;G
3.0;G
2.6;G
4.4;G
6.0;G
6.2;G
3.8;G
3.2;G
3.0;G
3.1;G
2.8;G
4.5;G
3.0;G
2.0;G
3.4;G
1.8;G
-1.4;G
1.8;G
1.1;G
2.4;G
4.2;G
2.4;G
-5.1;G
-4.4;G
-5.5;G
-8.2;G
-4.5;G
-5.4;G
-6.2;G
-1.8;G
-2.9;G
-2.8;G
-1.7;G
-3.5;G
-2.8;G
-2.2;G
-2.2;G
0.4;G
0.0;G
-0.6;G
0.4;G
1.1;G
-0.4;G
1.1;G
3.8;G
1.6;G
0.8;G
2.9;G
1.7;G
2.0;G
5.0;G
2.9;G
3.2;G
4.1;G
3.8;G
3.8;G
3.6;G
2.4;G
-0.8;G
4.1;G
1.7;G
2.8;G
3.5;G
4.3;G
1.8;G
3.6;G
2.8;G
2.0;G
5.2;G
2.2;G
-0.8;G
3.9;G
-0.2;G
-3.2;G
-2.0;G
-2.0;G
-7.2;G
-3.6;G
-2.6;G
2.0;G
3.5;G
1.5;G
2.2;G
2.0;G
2.1;G
-0.2;G
2.0;G
1.0;G
3.8;G
4.8;G
4.2;G
3.8;G
6.6;G
3.3;G
0.8;G
2.2;G
0.2;G
-2.8;G
-0.9;G
-1.0;G
-5.2;G
0.2;G
-0.6;G
-1.4;G
0.2;G
-1.6;G
-2.7;G
-3.0;G
-3.8;G
-1.8;G
-0.6;G
-2.0;G
-2.8;G
-2.0;G
-2.6;G
-3.2;G
-1.4;G
-2.8;G
-5.4;G
-3.3;G
-3.4;G
-4.0;G
0.6;G
-1.1;G
-3.2;G
0.2;G
-0.3;G
-3.2;G
0.6;G
-1.0;G
-6.8;G
-2.3;G
-1.7;G
-4.8;G
-0.8;G
-2.2;G
-4.2;G
2.7;G
-0.8;G
-1.0;G
4.3;G
0.8;G
-0.8;G
1.9;G
0.6;G
0.4;G
3.2;G
2.8;G
2.6;G
1.8;G
0.0;G
-3.4;G
-2.9;G
-3.5;G
-8.8;G
-1.9;G
-3.7;G
-6.0;G
1.0;G
-2.5;G
-2.8;G
0.0;G
-1.4;G
-5.2;G
3.4;G
0.2;G
-3.8;G
-0.6;G
0.2;G
-3.7;G
3.6;G
0.8;G
-2.4;G
3.8;G
0.8;G
-3.2;G
2.0;G
0.3;G
-2.4;G
2.3;G
0.9;G
-4.0;G
3.2;G
1.4;G
-2.0;G
2.6;G
0.4;G
-2.2;G
1.8;G
0.4;G
-0.3;G
3.0;G
3.0;G
0.8;G
4.8;G
1.6;G
0.4;G
2.2;G
1.8;G
-0.2;G
1.9;G
1.2;G
-1.4;G
2.1;G
0.6;G
1.0;G
1.6;G
2.7;G
5.8;G
6.4;G
3.8;G
2.5;G
2.3;G
2.8;G
1.8;G
7.1;G
5.1;G
4.6;G
6.9;G
6.0;G
6.2;G
7.1;G
5.4;G
3.8;G
7.0;G
5.6;G
3.0;G
4.2;G
3.9;G
1.4;G
7.9;G
3.6;G
3.6;G
4.9;G
6.6;G
3.2;G
7.1;G
4.6;G
2.8;G
6.2;G
4.9;G
3.2;G
8.7;G
7.9;G
5.4;G
11.1;G
7.8;G
3.4;G
7.1;G
6.8;G
3.8;G
6.2;G
5.4;G
0.0;G
9.5;G
7.4;G
4.2;G
9.5;G
7.2;G
4.8;G
9.5;G
9.8;G
8.5;G
16.5;G
12.4;G
8.2;G
14.4;G
10.6;G
6.0;G
11.8;G
11.6;G
6.5;G
8.8;G
11.1;G
8.1;G
11.2;G
10.2;G
5.4;G
8.0;G
8.2;G
6.4;G
12.2;G
11.1;G
6.2;G
20.1;G
15.5;G
6.2;G
15.2;G
8.8;G
5.8;G
11.2;G
11.2;G
4.6;G
10.0;G
9.6;G
4.0;G
7.6;G
3.0;G
0.3;G
7.8;G
5.9;G
4.8;G
8.8;G
4.8;G
3.8;G
6.7;G
6.7;G
1.8;G
8.4;G
7.5;G
1.8;G
6.2;G
4.9;G
3.0;G
11.1;G
9.0;G
5.1;G
13.8;G
10.6;G
9.8;G
10.7;G
12.5;G
9.8;G
12.3;G
12.8;G
10.2;G
11.6;G
13.7;G
7.2;G
10.2;G
9.8;G
7.8;G
10.6;G
11.0;G
7.0;G
6.6;G
5.7;G
5.6;G
11.8;G
11.0;G
8.2;G
13.1;G
10.2;G
8.2;G
14.9;G
12.0;G
8.2;G
11.9;G
11.1;G
7.8;G
13.8;G
10.0;G
5.8;G
12.1;G
9.4;G
7.6;G
15.8;G
9.6;G
9.9;G
11.1;G
10.0;G
7.8;G
14.2;G
12.4;G
9.8;G
11.7;G
12.6;G
9.8;G
14.8;G
10.5;G
9.0;G
11.9;G
11.6;G
8.2;G
12.5;G
14.5;G
9.9;G
14.6;G
13.3;G
7.5;G
8.5;G
8.2;G
9.2;G
15.6;G
14.2;G
10.2;G
15.3;G
14.6;G
7.8;G
10.2;G
9.6;G
7.6;G
6.6;G
6.8;G
7.6;G
9.4;G
9.5;G
6.8;G
7.0;G
8.0;G
8.9;G
13.3;G
13.0;G
8.2;G
15.7;G
15.1;G
9.8;G
17.1;G
13.2;G
9.8;G
18.0;G
15.0;G
12.2;G
21.6;G
19.3;G
12.2;G
20.5;G
20.5;G
12.9;G
19.6;G
18.1;G
13.2;G
18.9;G
16.6;G
10.5;G
12.2;G
13.4;G
10.8;G
16.4;G
15.3;G
11.8;G
18.2;G
16.1;G
14.8;G
21.3;G
19.7;G
17.2;G
24.4;G
23.8;G
16.5;G
17.6;G
17.9;G
13.1;G
17.4;G
17.0;G
12.2;G
20.6;G
16.7;G
15.2;G
23.8;G
17.1;G
14.2;G
17.2;G
16.0;G
13.8;G
19.4;G
18.2;G
16.2;G
20.5;G
17.7;G
14.2;G
18.1;G
16.1;G
12.4;G
15.3;G
15.5;G
12.2;G
11.5;G
12.7;G
9.8;G
13.9;G
11.2;G
10.2;G
15.5;G
15.6;G
9.8;G
12.0;G
12.2;G
12.8;G
17.7;G
16.2;G
13.0;G
18.4;G
15.8;G
13.0;G
21.0;G
19.4;G
12.2;G
14.0;G
12.2;G
10.8;G
13.8;G
12.5;G
8.9;G
13.8;G
12.3;G
10.6;G
15.8;G
15.0;G
11.9;G
15.0;G
13.5;G
11.5;G
14.0;G
13.4;G
11.2;G
16.6;G
18.0;G
12.2;G
18.8;G
17.5;G
11.6;G
22.0;G
19.1;G
14.8;G
21.0;G
16.0;G
13.8;G
18.6;G
17.6;G
14.0;G
18.0;G
19.0;G
14.0;G
17.8;G
16.6;G
13.0;G
16.5;G
16.5;G
12.8;G
16.8;G
18.4;G
15.0;G
18.4;G
14.8;G
14.0;G
21.8;G
19.6;G
14.9;G
23.2;G
21.5;G
15.8;G
16.1;G
20.2;G
16.0;G
20.6;G
17.3;G
15.5;G
21.0;G
18.8;G
15.0;G
17.3;G
15.9;G
12.8;G
15.6;G
16.0;G
11.3;G
16.8;G
16.0;G
13.1;G
19.9;G
14.6;G
11.7;G
13.8;G
14.5;G
11.9;G
19.5;G
17.4;G
12.5;G
20.4;G
16.9;G
12.8;G
18.1;G
17.2;G
11.8;G
19.7;G
17.3;G
13.8;G
18.9;G
17.6;G
11.8;G
17.2;G
15.9;G
11.8;G
19.4;G
17.6;G
14.4;G
16.2;G
17.4;G
11.0;G
19.1;G
17.0;G
11.8;G
18.9;G
15.8;G
12.8;G
14.9;G
14.4;G
11.8;G
16.0;G
13.6;G
11.8;G
17.4;G
14.2;G
12.0;G
13.4;G
13.9;G
13.0;G
16.7;G
14.8;G
16.0;G
18.5;G
18.0;G
13.0;G
17.3;G
15.9;G
10.8;G
17.7;G
15.0;G
9.8;G
13.5;G
12.8;G
13.8;G
15.9;G
16.2;G
12.8;G
18.2;G
13.8;G
13.2;G
17.6;G
15.2;G
10.8;G
17.2;G
15.3;G
12.8;G
15.6;G
16.4;G
13.8;G
16.1;G
14.6;G
12.5;G
16.7;G
14.1;G
12.2;G
16.5;G
14.4;G
12.8;G
18.1;G
15.3;G
13.4;G
16.4;G
12.9;G
11.8;G
18.3;G
14.8;G
12.8;G
14.1;G
13.4;G
12.2;G
16.4;G
14.2;G
11.8;G
17.0;G
13.5;G
12.0;G
15.1;G
12.8;G
11.0;G
14.0;G
12.3;G
10.8;G
17.5;G
15.1;G
11.3;G
15.6;G
14.6;G
12.8;G
19.2;G
15.2;G
13.8;G
18.8;G
17.4;G
13.8;G
17.1;G
13.5;G
12.8;G
17.8;G
15.9;G
12.2;G
14.0;G
11.6;G
10.0;G
12.5;G
12.3;G
10.0;G
13.4;G
13.1;G
12.8;G
18.7;G
15.8;G
14.2;G
14.7;G
12.8;G
13.8;G
16.6;G
16.0;G
10.2;G
15.2;G
12.1;G
10.8;G
13.9;G
12.0;G
8.8;G
12.6;G
10.0;G
9.9;G
15.6;G
13.2;G
8.2;G
14.4;G
10.8;G
7.2;G
13.6;G
10.0;G
6.2;G
14.1;G
11.2;G
7.8;G
14.0;G
11.2;G
9.2;G
14.9;G
11.4;G
8.1;G
15.6;G
11.4;G
9.6;G
13.4;G
11.3;G
5.2;G
13.9;G
10.7;G
10.2;G
17.0;G
10.6;G
8.8;G
16.0;G
12.4;G
10.2;G
11.2;G
10.5;G
9.8;G
13.3;G
11.0;G
10.6;G
11.6;G
11.1;G
11.0;G
13.4;G
11.2;G
12.2;G
14.7;G
12.8;G
11.2;G
20.2;G
14.1;G
13.2;G
19.0;G
13.9;G
12.8;G
14.8;G
13.4;G
9.8;G
14.9;G
10.2;G
7.2;G
9.9;G
10.3;G
10.0;G
13.2;G
11.0;G
8.8;G
12.2;G
9.6;G
9.2;G
13.1;G
9.0;G
6.8;G
13.1;G
9.3;G
6.2;G
6.2;G
7.6;G
7.8;G
10.7;G
7.4;G
5.2;G
11.6;G
7.4;G
9.0;G
11.7;G
6.9;G
-1.2;G
9.8;G
5.4;G
7.8;G
11.9;G
10.2;G
9.8;G
12.8;G
11.8;G
11.8;G
16.8;G
11.4;G
8.8;G
11.4;G
9.8;G
7.2;G
12.5;G
7.8;G
9.7;G
10.8;G
10.8;G
7.8;G
10.6;G
10.2;G
9.2;G
8.3;G
8.6;G
7.8;G
10.6;G
8.1;G
9.8;G
10.1;G
10.4;G
10.8;G
11.4;G
7.5;G
4.2;G
7.4;G
4.8;G
5.6;G
7.0;G
6.0;G
5.8;G
7.2;G
6.8;G
3.2;G
7.8;G
6.2;G
6.8;G
8.7;G
6.6;G
5.2;G
7.5;G
4.1;G
3.2;G
6.3;G
6.0;G
7.0;G
8.1;G
7.0;G
6.2;G
10.4;G
7.5;G
9.2;G
10.1;G
9.6;G
8.8;G
10.3;G
8.2;G
8.2;G
9.6;G
6.8;G
7.8;G
10.0;G
7.5;G
7.8;G
7.8;G
6.8;G
4.2;G
4.9;G
3.0;G
0.8;G
3.1;G
2.2;G
3.4;G
3.8;G
3.5;G
2.2;G
4.0;G
3.6;G
3.8;G
5.8;G
4.6;G
3.8;G
3.7;G
4.0;G
0.8;G
3.2;G
1.3;G
0.8;G
4.1;G
0.2;G
1.5;G
2.4;G
2.1;G
1.8;G
1.8;G
2.2;G
1.4;G
2.4;G
2.4;G
1.2;G
2.6;G
0.8;G
-2.0;G
-0.7;G
0.0;G
1.0;G
1.6;G
-0.5;G
-2.8;G
1.0;G
1.4;G
1.7;G
4.3;G
3.7;G
4.2;G
5.6;G
6.0;G
6.0;G
6.3;G
3.8;G
4.2;G
6.4;G
4.8;G
3.4;G
6.0;G
5.7;G
4.8;G
0.2;G
-1.6;G
-3.8;G
0.4;G
-2.3;G
1.3;G
2.1;G
1.2;G
-0.4;G
1.8;G
1.6;G
1.2;G
1.6;G
4.1;G
1.8;G
1.0;G
1.4;G
3.8;G
2.6;G
1.1;G
0.8;G
1.9;G
0.8;G
0.4;G
2.2;G
3.8;G
2.8;G
3.7;G
3.7;G
4.2;G
5.8;G
3.6;G
1.8;G
3.3;G
3.7;G
5.4;G
5.2;G
4.0;G
0.8;G
3.0;G
1.4;G
0.8;G
0.6;G
-0.2;G
0.8;G
0.6;G
1.7;G
-0.4;G
-0.4;G
1.2;G
-1.8;G
-2.1;G
-3.0;G
-5.2;G
-3.0;G
-5.7;G
-5.2;G
-3.1;G
-6.4;G
-6.2;G
-3.8;G
-2.3;G
-3.8;G
-3.8;G
-5.3;G
-6.8;G
-6.1;G
-8.2;G
-10.0;
-7.0;G
-5.4;G
-8.6;G
-4.5;G
-9.6;G
-9.0;G
-5.7;G
-8.1;G
-3.7;G
-3.9;G
-3.0;G
-3.2;G
-3.6;G
-1.9;G
-1.8;G
-1.8;G
-3.5;G
-3.8;G
-3.5;G
-5.2;G
-8.7;G
-6.8;G
-9.6;G
-9.8;G
-7.7;G
-9.3;G
-7.3;G
-5.8;G
-9.4;G
-9.8;G
-6.5;G
-8.8;G
-8.2;G
-6.6;G
-1.2;G
-2.8;G
-1.3;G
-2.4;G
-1.8;G
0.6;G
0.8;G
-2.2;G
-4.4;G
-4.5;G
-11.8;
-8.2;G
-11.6;
-7.8;G
-6.1;G
-5.2;G
-11.2;
-9.4;G
-9.9;G
-15.8;
-12.5;
-10.5;
-14.8;
-12.8;
-11.5;
-10.2;
-8.0;G
-7.5;G
-9.0;G
-2.6;G
-1.0;G
-9.8;G
-11.4;
-11.4;
-12.8;
-11.2;
-12.0;
-11.2;
-7.4;G
-10.0;
-14.0;
-11.6;
-7.8;G
-11.2;
-5.4;G
-9.4;G
-13.8;
-5.6;G
-5.8;G
-7.4;G
-6.0;G
-8.2;G
-12.8;
-9.0;G
-9.6;G
-7.2;G
-5.6;G
-6.0;G
-4.2;G
0.7;G
0.9;G
1.2;G
1.5;G
1.2;G
-3.8;G
-0.8;G
-1.4;G
0.8;G
-0.3;G
-1.0;G
-6.8;G
-5.8;G
-5.2;G
-3.2;G
-1.8;G
-9.4;G
-3.4;G
-3.4;G
-5.8;G
-5.2;G
-4.0;G
-5.8;G
